region,stand_lat,stand_lon,trips_at_stand,ratio,Taxi Rank Name - English
Airport / Garhoud / Festival City / Creek,25.243703,55.346579,31,0.0014482597523943,"RTA Taxi Rank Al Garhoud, Emirates Co op Socity"
Airport / Garhoud / Festival City / Creek,25.227824,55.321251,109,0.0050922681616444,"RTA Taxi Rank Umm Hurair - 2, Raffles Hotel"
Airport / Garhoud / Festival City / Creek,25.250858,55.332997,226,0.0105582807755197,RTA Taxi Rank City Centre Deira
Airport / Garhoud / Festival City / Creek,25.224273,55.351796,361,0.0168652184069142,RTA Taxi Rank Festival City Mall
Airport / Garhoud / Festival City / Creek,25.232951,55.385168,26,0.00121466946975,RTA Taxi Rank Bin Sougat Shopping Centre
Airport / Garhoud / Festival City / Creek,25.229532,55.319248,410,0.0191544031768278,RTA Taxi Rank Wafi Mall
Airport / Garhoud / Festival City / Creek,25.219494,55.338303,30,0.0014015416958654,RTA Taxi Rank Creek Metro Station
Airport / Garhoud / Festival City / Creek,25.250201,55.344459,139,0.0064938098575099,RTA Taxi Rank Garhoud Near Millennium Airport Hotel
Airport / Garhoud / Festival City / Creek,25.242019,55.366098,36,0.0016818500350385,RTA Taxi Rank Emirates HQ
Airport / Garhoud / Festival City / Creek,25.223393,55.35665,340,0.0158841392198084,RTA Taxi Rank IKEA - Festival Center A
Airport / Garhoud / Festival City / Creek,25.22314,55.356545,340,0.0158841392198084,RTA Taxi Rank IKEA - Festival Center B
Airport / Garhoud / Festival City / Creek,25.24947921,55.3455928,63,0.0029432375613174,RTA Taxi Rank Endocrinologist Dubai Prime Hospital
Airport / Garhoud / Festival City / Creek,25.24727744,55.33958297,56,0.0026162111656155,RTA Taxi Rank Mediclinic Welcare Hospital
Airport / Garhoud / Festival City / Creek,25.24222326,55.36081911,77,0.0035972903527213,RTA Taxi Rank Circle K Store Holiday Inn Hotel
Airport / Garhoud / Festival City / Creek,25.23505,55.355183,16,0.0007474889044615,RTA Taxi Rank Dubai Court Personal Status Court
Airport / Garhoud / Festival City / Creek,,,19145,0.8944171922448027,
Al Barsha,25.098519,55.205362,200,0.0151871820183764,RTA Taxi Rank Al Barsha Mall 
Al Barsha,25.118107,55.200608,17,0.001290910471562,RTA Taxi Rank Mall Of Emirates
Al Barsha,25.120161,55.201598,179,0.0135925279064469,RTA Taxi Rank Mall Of The Emirates Metro Station Landside
Al Barsha,25.115386,55.190077,36,0.0027336927633077,RTA Taxi Rank Mashreq Metro Station Seaside
Al Barsha,25.11459,55.191135,450,0.0341711595413471,RTA Taxi Rank Mashreq Metro Station Landside
Al Barsha,25.109234,55.203023,198,0.0150353101981927,"RTA Taxi Rank Sama Building , Al Barsha"
Al Barsha,25.111982,55.218784,20,0.0015187182018376,RTA Taxi Rank Umm Suqeim Street
Al Barsha,25.10686284,55.18202891,31,0.0023540132128483,RTA Taxi Rank Near Al Zahra Hospital
Al Barsha,25.109086,55.203145,220,0.0167059002202141,RTA Taxi Rank City Star Hotel
Al Barsha,,,11818,0.8974105854658668,
